Q,A
안경 전화 신발 나무 바위 사과 보자 풍선 당근 연필 기차 알게 창문 동생 약국 호박 자연 서울 뽑기 회사 노래 신발 딸기 논밭 과일 송곳 딸기 문제 나무 극장 바위 드림 아들 팥죽 동생 목표 냄새 닫아 원투 방석 느낌 ,거울 안경 전화 신발 나무 가위 사과 모자 풍선 당근 연필 기차 날개 창문 동생 약국 호박 자연 거울 토끼 회사 노래 신발 딸기 나무 참새 달걀 우산 학교 장갑 그림 풍선 전화 병원 과일 땅콩 편지 달걀 시간 육군 신발 땅콩 안개 마음 허리 욕심 노래 저녁 사람 토끼 병원 등대 논밭 과일 송곳 딸기 문제 나무 극장 가위 그림 아들 팥죽 동생 목표 냄새 바다 자연 접시 권투 방석 느낌
바디 단두 택당 가방 답당 연필 자동차 동물원 엄마 뽀뽀 호랑이 오이 코끼리 땅콩 귀 그네 토끼 송탄 로봇 그림 못 눈 떡 괴물 다음 삼태 ,바지 단추 책상 가방 사탕 연필 자동차 동물원 엄마 뽀뽀 호랑이 꼬리 코끼리 땅콩 귀 그네 토끼 풍선 로봇 그림 못 눈썹 괴물 싸움 참새 세마리 짹짹 나무 메뚜기 전화
우리나라 문 열어 내일 만나 내일 만나 이제 내가 나라고 엄마가 노래해 밥 먹었어 밥 먹었어 집에 아무도 없겠지 내일 양도 없겠지 달려라 전화를 하셔서 가게 갈래 갈래 저녁에 토요일 갈비집 ,문 열어. 문 열어? 나무가 많아. 나무가 많아? 내일 만나. 내일 만나? 이제 내려. 이제 내려? 머리 말려. 머리 말려? 여기 놔요. 여기 놔요? 나비가 날아요. 나비가 날아요? 엄마가 노래해. 엄마가 노래해? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 여기 놔. 여기 놔? 여기 놔요. 여기 놔요? 머리 말려. 머리 말려? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 머리 말렸어요. 머리 말렸어요? 여기 놓을 거예요. 여기 놓을 거예요? 밥 먹었죠. 밥 먹었죠? 집에 아무도 없겠지. 집에 아무도 없겠지? 발이 얼었어요. 발이 얼었어요? 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 거기 갈래. 거기 갈래? 그렇게 될 리가 없지. 그렇게 될 리가 없지? 전화 왔었어요. 전화 왔었어요? 여기까지 걸어 왔어요. 여기까지 걸어 왔어요? 방이 추운 거 같애. 방이 추운 거 같애? 날씨가 추워요. 날씨가 추워요? 음악 켜. 음악 켜? 날씨가 더워요. 날씨가 더워요?
거울 안경 전화 신발 나무 가위 사과 모자 풍선 당근 연필 기차 날개 창문 동생 약국 호박 자연 거울 토끼 회사 노래 신발 딸기 나무 참새 달걀 우산 학교 장갑 그림 풍선 전화 병원 과일 땅콩 편지 달걀 시간 육군 신발 땅콩 한 개 마음 허리 욕심 노래 저녁 사람 토끼 병원 등대 논밭 과일 송곳 딸기 문제 나무 극장 가위 크림 아들 팥죽 동생 목표 냄새 바다 ,거울 안경 전화 신발 나무 가위 사과 모자 풍선 당근 연필 기차 날개 창문 동생 약국 호박 자연 거울 토끼 회사 노래 신발 딸기 나무 참새 달걀 우산 학교 장갑 그림 풍선 전화 병원 과일 땅콩 편지 달걀 시간 육군 신발 땅콩 안개 마음 허리 욕심 노래 저녁 사람 토끼 병원 등대 논밭 과일 송곳 딸기 문제 나무 극장 가위 그림 아들 팥죽 동생 목표 냄새 바다 자연 접시 권투 방석 느낌
나는 바지도 있고 단추나 채웁니다 책상 위에 카바니 있습니다 아빠와 자동차 타고 돈 모발에 갑니다 아빠가 토끼 분사를 사 왔습니다 사우나 갑니다 참새 세 마리가 짹짹 거리고 ,나는 바지를 입고 단추를 채웁니다. 책상 위에 가방이 있습니다. 가방에 사탕과 연필을 넣을 거예요. 아빠와 자동차를 타고 동물원에 갑니다. 잘 다녀와 하면서 엄마가 뽀뽀를 해줍니다. 동물원에는 호랑이가 꼬리를 늘어뜨리고 있습니다. 나는 코끼리에게 땅콩을 줍니다. 코끼리는 귀가 아주 큽니다. 나는 동물원 놀이터에서 그네를 탑니다. 아빠가 토끼 풍선을 사왔습니다. 로봇 그림을 구경합니다. 그림은 못 두 개에 걸려 있습니다. 로봇은 긴 눈썹 괴물과 싸움을 합니다. 나무에는 참새 세 마리가 짹짹 거리고 나무 아래 풀밭에는 메뚜기가 있습니다. 엄마에게 전화를 합니다. 엄마 동물원 재미있어요.
아직 단추 섹스 땅 가방 다음 연필 자동차 동물원 엄마 뽀뽀 호랑이 꼬리 코끼리 땅콩 쁘네 풍선 로봇 그림 모드 눈썹 괴물 ,바지 단추 책상 동물원 엄마 꼬리 코끼리 토끼 풍선
감사합니다 고마워 나 오늘 생일이야 나 졸려 나 피곤해 날씨 알려 줘 너 몇 살이야 너무 외로워 뉴스 들려 줘 다녀올게 다시 틀어 줘 답답해 댄스 곡 들려 줘 라디오 틀어 줘 메뉴 읽어 줘 네모의 드 미안해 밖에 비 와 반가워 비 내리는 해 줘 생일 축하 노래해 줘 잘 자 주변 마트 추천해 줘 지금 몇 시야 지금 밖에 날씨 어때 지난날 느낌으로 알려 줘 얼마야 크리스마스 날씨가 어때 한글날 몇 월 며칠이야 현재 날씨 알려 줘 ,감사합니다 고마워 나 오늘 생일이야 나 졸려? 나 피곤해 날씨 알려 줘 너 몇 살이야? 너무 외로워 뉴스 들려 줘 다녀올게 다시 틀어 줘 답답해 댄스곡 들려 줘 라디오 틀어 줘 메모 읽어 줘 메모해 줘 미안해 밖에 비 와? 반가워 비밀 얘기해 줘 생일 축하 노래 해 줘 설날이 며칠이야? 신나는 음악 틀어 줘 심심해 알람 언제 울려? 어제 며칠이야? 오늘 날씨 뉴스 알려 줘 오늘 수요일이야? 오늘 우산 필요해? 오늘 일정 삭제해 줘 오늘 일정 알려 줘 오늘 약속이 있어? 오디오 틀어 줘 오전 알람 켜 줘 운세 알려 줘 이번 달 며칠까지 있어? 이번 주 날씨가 어때? 이번 주말에 눈 와? 인기 영화 추천해 줘 자기 소개 해봐 잘 있었어? 잘 자 주+ 주변 맛집 추천해 줘 지금 몇 시야? 지금 밖에 날씨 어때? 지난주 로또 번호 알려 줘 코스피 지수 얼마야? 크리스마스 날씨가 어때? 한글날 몇월 며칠이야? 현재 날씨 알려 줘
안경 전화 인발 나무 바위 사과 모자 풍선 당근 연필 2차 나에게 땅은 동생 약국 호박 나연 토끼 회사 노래 병원 등대 룸바 바이 똥꼬 딸기 문제의 나무 직장 가위 드림 아들 팥죽 동생 목표 냄새 바다 다영 접시 원 투 방석 빅뱅 ,거울 안경 전화 신발 나무 가위 사과 모자 풍선 당근 연필 기차 날개 창문 동생 약국 호박 자연 거울 토끼 회사 노래 신발 딸기 나무 참새 달걀 우산 학교 장갑 그림 풍선 전화 병원 과일 땅콩 편지 달걀 시간 육군 신발 땅콩 안개 마음 허리 욕심 노래 저녁 사람 토끼 병원 등대 논밭 과일 송곳 딸기 문제 나무 극장 가위 그림 아들 팥죽 동생 목표 냄새 바다 자연 접시 권투 방석 느낌
문 열어 문 열어 나무가 많아 나무가 많아 내일 만나 내일 만나 이제 내려 내려 머리 말려 머리 말려요 나비가 날아요 나비가 날아요 엄마가 노래해 엄마가 노래해 머리 말려요 머리 말려요 여기 났어요 여기 났어요 여기는 여기 있나 여기나요 여기 있나요 머리 말려 머리 말려 머리 말려요 머리 말려요 여기 났어요 여기 났어요 머리 말렸어요 머리 말렸어요 여긴 올 거예요 여기 놓을 거예요 밥 먹었죠 밥 먹었죠 집에 아무도 없겠지 ,문 열어. 문 열어? 나무가 많아. 나무가 많아? 내일 만나. 내일 만나? 이제 내려. 이제 내려? 머리 말려. 머리 말려? 여기 놔요. 여기 놔요? 나비가 날아요. 나비가 날아요? 엄마가 노래해. 엄마가 노래해? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 여기 놔. 여기 놔? 여기 놔요. 여기 놔요? 머리 말려. 머리 말려? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 머리 말렸어요. 머리 말렸어요? 여기 놓을 거예요. 여기 놓을 거예요? 밥 먹었죠. 밥 먹었죠? 집에 아무도 없겠지. 집에 아무도 없겠지? 발이 얼었어요. 발이 얼었어요? 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 거기 갈래. 거기 갈래? 그렇게 될 리가 없지. 그렇게 될 리가 없지? 전화 왔었어요. 전화 왔었어요? 여기까지 걸어 왔어요. 여기까지 걸어 왔어요? 방이 추운 거 같애. 방이 추운 거 같애? 날씨가 추워요. 날씨가 추워요? 음악 켜. 음악 켜? 날씨가 더워요. 날씨가 더워요?
나는 바지를 입고 단주를 채웁니다 책장 위에 가방이 있습니다 가방에 사탕과 연필을 먹을 거예요 아빠와 자동차를 타고 동물원에 갑니다 잘 다녀와 아빠가 토끼 풍선을 찾았습니다 로봇 그림을 구경합니다 싸움을 합니다 세 마리가 짹짹 거리고 ,나는 바지를 입고 단추를 채웁니다. 책상 위에 가방이 있습니다. 가방에 사탕과 연필을 넣을 거예요. 아빠와 자동차를 타고 동물원에 갑니다. 잘 다녀와 하면서 엄마가 뽀뽀를 해줍니다. 동물원에 호랑이가 꼬리를 늘어뜨리고 있습니다. 나는 코끼리에게 땅콩을 줍니다. 코끼리는 귀가 아주 큽니다. 나는 동물원 놀이터에서 그네를 탑니다. 아빠가 토끼 풍선을 사왔습니다. 로봇 그림을 구경합니다. 그림은 못 두 개에 걸려 있습니다. 로봇은 긴 눈썹괴물과 싸움을 합니다. 나무에는 참새 세 마리가 짹짹 거리고 나무 아래 메뚜기가 있습니다. 엄마에게 전화를 합니다. 엄마 동물원 재미있었어요.
나는 바지를 입고 반주를 채웁니다 책상 위에 가방이 있습니다 가방이 사탕과 연비를 넣을 거예요 아빠와 자동차를 타고 동물원에 갑니다 잘 다녀와 하면서 엄마가 뽀뽀를 해 줍니다 그림은 옷 두 개 권력 있습니다 로봇은 긴 눈썹 괴물과 싸움을 합니다 나무에는 청색 세 마리가 짹짹 거리고 나무 아래 Please but에는 메뚜기가 있습니다 엄마에게 전화해 팝니다 엄마 동물원 재미있어요 ,나는 바지를 입고 단추를 채웁니다. 책상 위에 가방이 있습니다. 가방에 사탕과 연필을 넣을 거예요. 아빠와 자동차를 타고 동물원에 갑니다. 잘 다녀와 하면서 엄마가 뽀뽀를 해줍니다. 동물원에는 호랑이가 꼬리를 늘어뜨리고 있습니다. 나는 코끼리에게 땅콩을 줍니다. 코끼리는 귀가 아주 큽니다. 나는 동물원 놀이터에서 그네를 탑니다. 아빠가 토끼 풍선을 사왔습니다. 로봇 그림을 구경합니다. 그림은 못 두 개에 걸려 있습니다. 로봇은 긴 눈썹 괴물과 싸움을 합니다. 나무에는 참새 세 마리가 짹짹 거리고 나무 아래 풀밭에는 메뚜기가 있습니다. 엄마에게 전화를 합니다. 엄마 동물원 재미있어요.
나는 바지를 입고 단추는 세웁니다 실장님의 가방이 있습니다 가방에 착한 강연 피는 넣을 거예요 아빠와 자동차를 타고 동물원에 갑니다 잘 다녀와 화면 아빠가 토끼 풍년을 사 왔습니다 다음에 합니다 거리고 ,나는 바지를 입고 단추는 채웁니다. 책상 위에 가방이 있습니다. 가방에 사탕과 연필을 넣을 거예요. 아빠와 자동차를 타고 동물원에 갑니다. 잘 다녀와 하면서 엄마가 뽀뽀를 해줍니다. 동물원에는 호랑이가 꼬리를 늘어뜨리고 있습니다. 나는 코끼리에게 땅콩을 줍니다. 코끼리는 귀가 아주 큽니다. 나는 동물원 놀이터에서 그네는 탑니다. 아빠가 토끼 풍전을 사왔습니다. 로봇 그림을 구경합니다.  그림은 못 두 개에 걸려 있습니다.  로봇은 긴 눈쩜 괴물과 싸움을 합니다.  나무에는 참새 세 마리가 짹짹 거리고  나무 아래 메뚜기가 있습니다.  엄마에게 전화를 합니다. 엄마 동물원 재미있어요*.
문 열어 문 열어 나무가 많아 나무가 많아 내일 만나 내일 만나 이제 내려 이제 내려 머리 말려 머리 말려 여긴 와요 여기도 와요 나비가 날아요 나비가 달아요 엄마가 노래해 엄마가 노래해 머리 말려요 머리 말려요 여기 왔어요 파리 얼었어요 길이 많이 막혀요 길이 많이 막혀요 선생님이 하셨어요 선생님이 하셨어요 거기 갈래 거기 갈래 그렇게 될 리가 없지 그렇게 드리고 없지 전화 왔었어요 전화 왔었어요 여기까지 걸어왔어요 여기까지 걸어왔어요 황해 추운 것 같아 방에 추운 것 같아 날씨가 추워요 날씨가 추워요 음악 켜 음악 켜 ,문 열어. 문 열어? 나무가 많아. 나무가 많아? 내일 만나. 내일 만나? 이제 내려. 이제 내려? 머리 말려. 머리 말려? 여기 놔요. 여기 놔요? 나비가 날아요. 나비가 날아요? 엄마가 노래해. 엄마가 노래해? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 여기 놔. 여기 놔? 여기 놔요. 여기 놔요? 머리 말려. 머리 말려? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 머리 말렸어요. 머리 말렸어요? 여기 놓을 거예요. 여기 놓을 거예요? 밥 먹었죠. 밥 먹었죠? 집에 아무도 없겠지. 집에 아무도 없겠지? 발이 얼었어요. 발이 얼었어요? 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 거기 갈래. 거기 갈래? 그렇게 될 리가 없지. 그렇게 될 리가 없지? 전화 왔었어요. 전화 왔었어요? 여기까지 걸어 왔어요. 여기까지 걸어 왔어요? 방이 추운 거 같애. 방이 추운 거 같애? 날씨가 추워요. 날씨가 추워요? 음악 켜. 음악 켜? 날씨가 더워요. 날씨가 더워요?
 밤 열 한 시에 잡니다. 제가 가장 좋아하는 음식은 스파게티입니다. 제 취미는 건프라* 입니다. 무지개 일곱 색깔은 빨간색 주황색 노란색 초란색*+ 초록색 남색 보라색입니다. 일주일은 월요일 화요일 수요일 목요일 금요일 토요일 일요일입니다. 설날은 일 월 일 일입니다. 크리스마스는 십 이 월 이십 오 일입니다. 지금 계절은 여름입니다. 어제는 날씨가 쌀쌀했고 오늘 날씨는 더웠습+ 더웠다. 일 년은+ 일 년은 삼백 육십 오 일이고 일 주일은 칠 일입니다. 하루는 이십 사 시간이고," 일 분은 육십 초입니다."""
문 열어 낸다 메롱 메롱 뭐래 밴드 노래 Ok Google ,문 열어. 문 열어? 나무가 많아. 나무가 많아? 내일 만나. 내일 만나? 이제 내려. 이제 내려? 머리 말려. 머리 말려? 여기 놔요. 여기 놔요? 나비가 날아요. 나비가 날아요? 엄마가 노래해. 엄마가 노래해? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 여기 놔. 여기 놔? 여기 놔요. 여기 놔요? 머리 말려. 머리 말려? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 머리 말렸어요. 머리 말렸어요? 여기 놓을 거예요. 여기 놓을 거예요? 밥 먹었죠. 밥 먹었죠? 집에 아무도 없겠지. 집에 아무도 없겠지? 발이 얼었어요. 발이 얼었어요? 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 거기 갈래. 거기 갈래? 그렇게 될 리가 없지. 그렇게 될 리가 없지? 전화 왔었어요. 전화 왔었어요? 여기까지 걸어 왔어요. 여기까지 걸어 왔어요? 방이 추운 거 같애. 방이 추운 거 같애? 날씨가 추워요. 날씨가 추워요? 음악 켜. 음악 켜? 날씨가 더워요. 날씨가 더워요?
문 열어 문 열어 나무가 많아 내일 만나 내일 만나요 이제 내려 머리 말려 말려 나비가 날아요 엄마가 노래해 엄마가 노래해 어린이 말라요 여기 놀 거예요 밥 먹었어 밥 먹었죠 집에 아무도 없겠지 집에 아무도 없지 발이 얼었어요 다이얼 어때요 길이 많이 막혀요게 많이 막혀 님이 화덕 떠요 선생님이 하던데요 거기 갈래 거기 갈래 석희 재미가 없지 ,문 열어. 문 열어? 나무가 많아. 나무가 많아? 내일 만나. 내일 만나? 이제 내려. 이제 내려? 머리 말려. 머리 말려? 나비가 날아요. 나비가 날아요? 엄마가 노래해. 엄마가 노래해? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 여기 놔. 여기 놔? 여기 놔요. 여기 놔요? 머리 말려. 머리 말려? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 머리 말렸어요. 머리 말렸어요? 여기 놓을 거예요. 여기 놓을 거예요? 밥 먹었죠. 밥 먹었죠? 집에 아무도 없겠지. 집에 아무도 없겠지? 발이 얼었어요. 발이 얼었어요? 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 거기 갈래. 거기 갈래? 그렇게 될 리가 없지. 그렇게 될 리가 없지? 전화 왔었어요. 전화 왔었어요? 여기까지 걸어 왔어요. 여기까지 걸어 왔어요? 방이 추운 거 같애. 방이 추운 거 같애? 날씨가 추워요. 날씨가 추워요? 음악 켜. 음악 켜? 날씨가 더워요. 날씨가 더워요?
나는 바지를 입고 단추를 채웁니다 책상 위에 가방이 있습니다 가방에 사탕과 연필을 넣을 거예요 아빠와 자동차를 타고 동물원에 갑니다 아빠가 토끼 풍선을 사 왔습니다 로봇 그림을 구경합니다 그림은 뭐 두 개에 걸려 있습니다 로봇은 긴 눈썹 괴물과 싸움을 합니다 나무에는 참새 세 마리가 짹짹 거리고 ,나는 바지를 입고 단추를 채웁니다. 책상 위에 가방이 있습니다. 가방에 사탕과 연필을 넣을 거예요. 아빠와 자동차를 타고 동물원에 갑니다. 잘 다녀와 하면서 엄마가 뽀뽀를 해줍니다.  동물원에는 호랑이가 꼬리를 늘어뜨리고 있습니다. 나는 코끼리에게 땅콩을 줍니다. 코끼리는 귀가 아주 큽니다. 나는 동물원 놀이터에서 그네를 탑니다. 아빠가 토끼 풍선을 사왔습니다. 로봇 그림을 구경합니다. 그림은 못 두 개에 걸려 있습니다. 로봇은 긴 눈썹 괴물과 싸움을 합니다. 나무에는 참새 세 마리가 짹짹 거리고 나무 아래 풀밭에는 메뚜기가 있습니다. 엄마에게 전화를 합니다. 엄마 동물원 재미있어요.
문 열어 문 열어 나무가 많아 나무가 많아 내일 만나 내일 만나 이제 내려 이제 내려 머리 말려 머리 말려 나비가 달아요 나비가 달아요 엄마가 노래해 엄마가 노래해 여기도 올 거예요 여기도 올 거예요 밥 먹었어 밥 먹었죠 집에 아무도 없겠지 집에 아무도 없겠지 달이 열었어요 발이 얼었어요 길이 많이 막혀요 길이 많이 막혀요 선생님이 하셨어요 선생님이 하셨어요 거기 갈래 거기 갈래 그렇게 될 리가 없지 그렇게 될 리가 없지 ,문 열어. 문 열어? 나무가 많아. 나무가 많아? 내일 만나. 내일 만나? 이제 내려. 이제 내려? 머리 말려. 머리 말려? 여기 놔요. 여기 놔요? 나비가 날아요. 나비가 날아요? 엄마가 노래해. 엄마가 노래해? 머리 말려요 머리 말려요? 여기 놨어요. 여기 놨어요? 여기 놔 여기 놔? 여기 놔요. 여기 놔요? 머리 말려. 머리 말려? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 머리 말렸어요. 머리 말렸어요? 여기 놓을 거예요. 여기 놓을 거예요? 밥 먹었죠. 밥 먹었죠? 집에 아무도 없겠지. 집에 아무도 없겠지? 발이 얼었어요. 발이 얼었어요? 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 거기 갈래. 거기 갈래? 그렇게 될 리가 없지. 그렇게 될 리가 없지? 전화 왔었어요. 전화 왔었어요? 여기까지 걸어 왔어요. 여기까지 걸어 왔어요? 방이 추운 거 같애. 방이 추운 거 같애? 날씨가 추워요. 날씨가 추워요? 음악 켜. 음악 켜? 날씨가 더워요. 날씨가 더워요?
덕분에 어느 동네에 어떤 호텔이 있는지 어느 호텔 커피숍에 전망이 좋은지 같은 잡다한 지식 마무리 속에 집어넣었다 선배가 짝 찾기 모음에 멈추던 찰나 즉 짚신도 짝이 있는데 짝이 없는 나는 못한게 아닌가 하는 자괴감에 빠지려는 순간이었다 그는 경력직으로 회사를 옮겼고 그곳에서 동료 여직원의 보자마자 한 번도 느껴 본 적 없는 낯선 감정에 빠져들었다 사내 연애를 시작한 그는 반년만에 결혼에 이르렀다 이직을 통해 일터와 신부감을 모두 얻었으니 화투에서 한 번에 피 두 장을 따는 1차 사운드를 몸소 실천한 셈이다 결혼식 직후 선배는 일기 영령은 표정으로 수해를 밝혔다 그의 발언에서 나는 약간의 허세와 오글거림 순수함과 나름 진정성을 느낄 수 있었다 와줘서 고마워 와 줘서 정말 고마워 결혼 생활을 아직 해 보지 않아서 결혼이 미친 짓인지 아닌지 아직 잘 모르겠어 하하 내가 쓸데없는 소리를 했나 이건 못들은 걸로 해 줘 다만 전에는 나를 위한 결혼을 하려 했던 것 같아이 여자를 만나게 되면서 비로소 우리를 위한 결혼을 생각하게 됐지 내가 아닌 우리를 위한 마모의 흔적 어느 포근한 봄날이었다 집 근처에 있는 타이어 전문점에 들렀다 문을 열고 들어가자 20대 중반쯤 돼 보이는 엔지니어가 어서 오세요 하면 반갑게 인사했다 청년의 이모와 콧등에 송골송골 땀이 맺혀 있었다 타이어를 갈아끼는 모습을 호기심 어린 눈으로 지켜보다 불쑥 말을 걸어 봤다 불안정 궁금증이 떠오르기 때문이다 저 실례합니다 여쭤보고 싶은게 있는데요 타이어를 보면 어떤 생각 드시나요네 그러니까 타이어가 운전자 닮았다 아 그럼요 전 타이어만 봐도 운전자가 어떤 사람인지 알아요 정말요 내 타이어의 마모 상태에 따라 고객의 운전 습관이나 상황을 미루어 짐작하며 원래 타이어의 정식 명칭은 없다고 해요 고무 바퀴 뜻이죠 근데 언제부터인가 다들 타이어라고 불러요 왜일까요 자동차 부품 중 가장 피곤한게 타이어라는 거죠 아하 재밌네요 ,"""""""덕분에 어느 동네에 어떤 호텔이 있는지 어느 호텔 커피숍의 전망이 좋은지 같은 잡다한 지식만 머릿속에 집어넣었다."
바지 단추 책상 가방 사탕 연필 자동차 동물원 엄마 뽀뽀 호랑이 꼬리 코끼리 땅콩 귀 근혜 토끼 풍선 로봇 그림 못 눈썹 괴물 싸움 참새 ,바지 단추 책상 가방 사탕 연필 자동차 동물원   엄마 뽀뽀 호랑이 꼬리 코끼리 땅콩 귀 그네 토끼 풍선 로봇 그림 못 눈썹 괴물 싸움 참새 세마리 짹짹 나무 메뚜기 전화
문 열어 문 열어 나무가 많아 나무가 많아 내일 만나 내일 만나 이제 내려 이제 내려 머리 말려 머리 말려 여기 나와요 여기 나아요 나비가 날아요 나비가 날아요 엄마가 노래 엄마가 노래 여기 놓을 거예요 밥 먹었어 밥 먹었어 집에 아무도 없겠지 집에 아무도 없겠지 발이 얼었어요 발이 얼었어요 기린 많이 막혀요 길이 많이 막혀요 선생님이 하셨어요 선생님이 하셨어요 거기 거기 갈래 거기 갈래 그렇게 될 리가 없지 그렇게 될 리가 없지 전화 왔어요 ,문 열어. 문 열어? 나무가 많아. 나무가 많아? 나+ 내일 만나. 내일 만나? 이제 내려. 이제 내려? 머리 말려. 머리 말려? 여기 놔요. 여기 놔요? 나비가 날아요. 나비가 날아요? 엄마가 노래해. 엄마가 노래해? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 여기 놔. 여기 놔? 여기 놔요. 여기 놔요? 머리 말려. 머리 말려? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 머리 말렸어요. 머리 말렸어요? 여기 놓을 거예요. 여기 놓을 거예요? 밥 먹었죠. 밥 먹었죠? 집에 아무도 없겠지. 집에 아무도 없겠지? 발이 열었+ 얼었어요. 바+ 발이 얼었어요? 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 거기+ 거기 갈래. 거기 갈래? 그렇게 될 리가 없지. 그렇게 될 리가 없지? 전화 왔어요. 전화 왔어요? 여기까지 걸어 왔어요. 여기까지 걸어 왔어요? 방이 추운 거 같애. 방이 추운 거 같애? 날씨가 추워요. 날씨가 추워요? 음악 켜. 음악 켜? 날씨가 더워요. 날씨가 더워요?
문 열어 나무가 많아 나무가 만화 내일 만나 내일 안나 이제 내려 이제 내려 머리 말려 머리 말려 여기나요 나비가 날아요 나비가 날아요 엄마가 노래해 엄마가 노래해 여기 놓을게요 다음 업어 줘 밥 먹었죠 집에 아무도 없겠지 집에 아무도 없겠지 달이 멀었어요 파리 얼었어요 시리 많이 막혀요 길이 많이 막혀요 선생님이 하셨어요 선생님이 하셨어요 거기 갈래 거기 갈래 그렇게 될 리가 없지 그렇게 될 리가 없지 전화 왔었어요 ,문 열어. 문 열어? 나무가 많아. 나무가 많아? 내일 만나. 내일 만나? 이제 내려. 이제 내려? 머리 말려. 머리 말려? 여기 놔요. 여기 놔요? 나비가 날아요. 나비가 날아요? 엄마가 노래해. 엄마가 노래해? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 여기 놔. 여기 놔? 여기 놔요. 여기 놔요? 머리 말려. 머리 말려? 머리 말려요. 머리 말려요? 여기 놨어요. 여기 놨어요? 머리 말렸어요. 머리 말렸어요? 여기 놓을 거예요. 여기 놓을 거예요? 밥 먹었죠. 밥 먹었죠? 집에 아무도 없겠지. 집에 아무도 없겠지? 발이 얼었어요. 발이 얼었어요? 길이 많이 막혀요. 길이 많이 막혀요? 선생님이 하셨어요. 선생님이 하셨어요? 거기 갈래. 거기 갈래? 그렇게 될 리가 없지. 그렇게 될 리가 없지? 전화 왔었어요. 전화 왔었어요? 여기까지 걸어 왔어요. 여기까지 걸어 왔어요? 방이 추운 거 같애. 방이 추운 거 같애? 날씨가 추워요. 날씨가 추워요? 음악 켜. 음악 켜? 날씨가 더워요. 날씨가 더워요?
나의 나이는 56살입니다 나는 말띠 내가 태어난 곳은 포천시 인구 주로 사는 곳은 관악구 신림동입니다 출생지는 포천시에서 두 살까지 살았습니다 아버지는 포천 출신이고 어머니도 포천 출신이다 제 위로는 언니와 언니 한 명과 오빠 한 명이 있고 동생은 없습니다 불편한 이유는 거리가 멀기 때문입니다 우리 집에서 서울역에 가려면 500 몇 번을 타고 가야 합니다 우리 집 근처에는 세이브 마트가 있는데 걸어서 10분 거리입니다 저는 보통 아침 5시에 일어나 저녁 11시에 잡니다 제가 가장 좋아하는 음식은 샐러드입니다 제가 좋아하는 취미는 유튜브입니다 무지개 일곱 색깔은 빨주노초파남보 ,제 나이는 오십 여섯 살입니다. 나는  말 띠입니다 (예시: (쥐/소/호랑이/돼지/...) 제가 태어난 곳은 포천시 이고 주로 산 곳은  관악구 신림동 입니다. 출생지는 포천시 에서  두 살까지 살았습니다. 아버지는 포천 출신이시고 어머니도 포천 출신이십니다 제 위로는 언니와+ 언니 한 명과 오빠 한명이 있고 동생은 없습니다. 우리 가족은 엄마 아빠 언니 오빠 그리고 저 모두 다섯 명입니다. 지금 저랑 같이 살고 있는 사람은 아들과 딸이 있습니다 가족과 주로 하는 이야기는 어+ 주식에 대한 것입니다. 친구와 주로 하는 이야기는u/ 에 대한 것입니다. 저는 평소에 주로  버스를 타고 다닙니다. 우리 동네는 교통이 불편 합니다. 교통이 불편한 이유는 거리가 멀기 때문입니다.  우리 집에서 서울역에 가려면 오백 육 번 을 타고 가야 합니다. 우리 집 근처에는 세이브 마트가 있는데 걸어서 십 분 거리에 있습니다.  나는 보통 아침 다섯 시에 일어나고 밤 열한 시에 잡니다. 제가 가장 좋아하는 음식은 샐러드 입니다. 제가 좋아하는 취미는 유튜브 입니다.  무지개 일곱 색깔은 빨 주 노 초 파 남 보 입니다. 일주일은 월 화 수 목 금 토 일 입니다. 설날은 일 월 일 일입니다. 크리스마스는 십이 월 이십 오 일 일입니다. 지금 계절은 여름 입니다. 어제는 날씨가 맑았고 오늘도 날씨는 맑습니다.
